gene_id,gene_name
ENSG00000078369,GNB1
ENSG00000169885,CALML6
ENSG00000187730,GABRD
ENSG00000158748,HTR6
ENSG00000169403,PTAFR
ENSG00000163873,GRIK3
ENSG00000162383,SLC1A7
ENSG00000172380,GNG12
ENSG00000050628,PTGER3
ENSG00000122420,PTGFR
ENSG00000142875,PRKACB
ENSG00000174021,GNG5
ENSG00000065135,GNAI3
ENSG00000118729,CASQ2
ENSG00000143318,CASQ1
ENSG00000198216,CACNA1E
ENSG00000135821,GLUL
ENSG00000116711,PLA2G4A
ENSG00000081248,CACNA1S
ENSG00000058668,ATP2B4
ENSG00000198049,AVPR1B
ENSG00000008118,CAMK1G
ENSG00000143772,ITPKB
ENSG00000168243,GNG4
ENSG00000198626,RYR2
ENSG00000133019,CHRM3
ENSG00000138031,ADCY3
ENSG00000183023,SLC8A1
ENSG00000143933,CALM2
ENSG00000138039,LHCGR
ENSG00000221823,PPP3R1
ENSG00000115353,TACR1
ENSG00000121966,CXCR4
ENSG00000162989,KCNJ3
ENSG00000128683,GAD1
ENSG00000115252,PDE1A
ENSG00000115419,GLS
ENSG00000115896,PLCL1
ENSG00000115993,TRAK2
ENSG00000178568,ERBB4
ENSG00000115556,PLCD4
ENSG00000135914,HTR2B
ENSG00000150995,ITPR1
ENSG00000196277,GRM7
ENSG00000180914,OXTR
ENSG00000134072,CAMK1
ENSG00000157087,ATP2B2
ENSG00000132164,SLC6A11
ENSG00000157103,SLC6A1
ENSG00000196639,HRH1
ENSG00000187091,PLCD1
ENSG00000188338,SLC38A3
ENSG00000114353,GNAI2
ENSG00000164082,GRM2
ENSG00000114854,TNNC1
ENSG00000157388,CACNA1D
ENSG00000183185,GABRR3
ENSG00000173175,ADCY5
ENSG00000065534,MYLK
ENSG00000144935,TRPC1
ENSG00000144891,AGTR1
ENSG00000075651,PLD1
ENSG00000114450,GNB4
ENSG00000169676,DRD5
ENSG00000004468,CD38
ENSG00000163394,CCKAR
ENSG00000109689,STIM2
ENSG00000163285,GABRG1
ENSG00000151834,GABRA2
ENSG00000109158,GABRA4
ENSG00000163288,GABRB1
ENSG00000134853,PDGFRA
ENSG00000138814,PPP3CA
ENSG00000169836,TACR3
ENSG00000145349,CAMK2D
ENSG00000151475,SLC25A31
ENSG00000151617,EDNRA
ENSG00000120251,GRIA2
ENSG00000151729,SLC25A4
ENSG00000078295,ADCY2
ENSG00000079215,SLC1A3
ENSG00000181104,F2R
ENSG00000152413,HOMER1
ENSG00000152495,CAMK4
ENSG00000213585,VDAC1
ENSG00000164270,HTR4
ENSG00000169252,ADRB2
ENSG00000113721,PDGFRB
ENSG00000070808,CAMK2A
ENSG00000155511,GRIA1
ENSG00000170214,ADRA1B
ENSG00000145864,GABRB2
ENSG00000145863,GABRA6
ENSG00000022355,GABRA1
ENSG00000113327,GABRG2
ENSG00000094755,GABRP
ENSG00000184845,DRD1
ENSG00000113749,HRH2
ENSG00000113262,GRM6
ENSG00000145949,MYLK4
ENSG00000204681,GABBR1
ENSG00000096433,ITPR3
ENSG00000124493,GRM4
ENSG00000146276,GABRR1
ENSG00000111886,GABRR2
ENSG00000164418,GRIK2
ENSG00000198523,PLN
ENSG00000186439,TRDN
ENSG00000152822,GRM1
ENSG00000154678,PDE1C
ENSG00000058404,CAMK2B
ENSG00000164742,ADCY1
ENSG00000146648,EGFR
ENSG00000164776,PHKG1
ENSG00000127955,GNAI1
ENSG00000198822,GRM3
ENSG00000127928,GNGT1
ENSG00000127920,GNG11
ENSG00000172354,GNB2
ENSG00000160991,ORAI2
ENSG00000179603,GRM8
ENSG00000181072,CHRM2
ENSG00000164867,NOS3
ENSG00000157219,HTR5A
ENSG00000169100,SLC25A6
ENSG00000126010,GRPR
ENSG00000044446,PHKA2
ENSG00000017483,SLC38A5
ENSG00000102001,CACNA1F
ENSG00000067177,PHKA1
ENSG00000173198,CYSLTR1
ENSG00000147246,HTR2C
ENSG00000005022,SLC25A5
ENSG00000125675,GRIA3
ENSG00000102287,GABRE
ENSG00000011677,GABRA3
ENSG00000268089,GABRQ
ENSG00000067842,ATP2B3
ENSG00000120910,PPP3CC
ENSG00000120907,ADRA1A
ENSG00000120899,PTK2B
ENSG00000188778,ADRB3
ENSG00000078668,VDAC3
ENSG00000198363,ASPH
ENSG00000174417,TRHR
ENSG00000155897,ADCY8
ENSG00000106688,SLC1A1
ENSG00000165059,PRKACG
ENSG00000156049,GNA14
ENSG00000156052,GNAQ
ENSG00000136928,GABBR2
ENSG00000198785,GRIN3A
ENSG00000188386,PPP3R2
ENSG00000242616,GNG10
ENSG00000176884,GRIN1
ENSG00000148408,CACNA1B
ENSG00000167323,STIM1
ENSG00000110148,CCKBR
ENSG00000091664,SLC17A6
ENSG00000110436,SLC1A2
ENSG00000109991,P2RX3
ENSG00000162188,GNG3
ENSG00000168539,CHRM1
ENSG00000149782,PLCB3
ENSG00000173020,GRK2
ENSG00000162341,TPCN2
ENSG00000162105,SHANK2
ENSG00000168959,GRM5
ENSG00000152578,GRIA4
ENSG00000149403,GRIK4
ENSG00000178372,CALML5
ENSG00000178363,CALML3
ENSG00000183049,CAMK1D
ENSG00000136750,GAD2
ENSG00000075073,TACR2
ENSG00000156026,MCU
ENSG00000107758,PPP3CB
ENSG00000148660,CAMK2G
ENSG00000165637,VDAC2
ENSG00000108179,PPIF
ENSG00000148680,HTR7
ENSG00000138193,PLCE1
ENSG00000043591,ADRB1
ENSG00000111181,SLC6A12
ENSG00000010379,SLC6A13
ENSG00000151067,CACNA1C
ENSG00000111664,GNB3
ENSG00000139112,GABARAPL1
ENSG00000273079,GRIN2B
ENSG00000139151,PLCZ1
ENSG00000123104,ITPR2
ENSG00000111371,SLC38A1
ENSG00000134294,SLC38A2
ENSG00000174233,ADCY6
ENSG00000123360,PDE1B
ENSG00000065361,ERBB3
ENSG00000135423,GLS2
ENSG00000166148,AVPR1A
ENSG00000070961,ATP2B1
ENSG00000179520,SLC17A8
ENSG00000174437,ATP2A2
ENSG00000186815,TPCN1
ENSG00000089250,NOS1
ENSG00000089041,P2RX7
ENSG00000135124,P2RX4
ENSG00000276045,ORAI1
ENSG00000187848,P2RX2
ENSG00000102468,HTR2A
ENSG00000152207,CYSLTR2
ENSG00000136160,EDNRB
ENSG00000213906,LTB4R2
ENSG00000129467,ADCY4
ENSG00000186469,GNG2
ENSG00000171723,GPHN
ENSG00000100678,SLC8A3
ENSG00000198668,CALM1
ENSG00000168398,BDKRB2
ENSG00000100739,BDKRB1
ENSG00000166206,GABRB3
ENSG00000186297,GABRA5
ENSG00000182256,GABRG3
ENSG00000175344,CHRNA7
ENSG00000198838,RYR3
ENSG00000184984,CHRM5
ENSG00000137841,PLCB2
ENSG00000137825,ITPKA
ENSG00000168970,JMJD7-PLA2G4B
ENSG00000243708,PLA2G4B
ENSG00000188089,PLA2G4E
ENSG00000159337,PLA2G4D
ENSG00000168907,PLA2G4F
ENSG00000069966,GNB5
ENSG00000129007,CALML4
ENSG00000103942,HOMER2
ENSG00000127588,GNG13
ENSG00000196557,CACNA1H
ENSG00000162104,ADCY9
ENSG00000183044,ABAT
ENSG00000183454,GRIN2A
ENSG00000166501,PRKCB
ENSG00000196296,ATP2A1
ENSG00000102882,MAPK3
ENSG00000156873,PHKG2
ENSG00000175938,ORAI3
ENSG00000140795,MYLK3
ENSG00000102893,PHKB
ENSG00000121281,ADCY7
ENSG00000087258,GNAO1
ENSG00000034713,GABARAPL2
ENSG00000197943,PLCG2
ENSG00000083454,P2RX5
ENSG00000108405,P2RX1
ENSG00000074370,ATP2A3
ENSG00000129219,PLD2
ENSG00000132535,DLG4
ENSG00000170296,GABARAP
ENSG00000170425,ADORA2B
ENSG00000007171,NOS2
ENSG00000141736,ERBB2
ENSG00000173805,HAP1
ENSG00000161714,PLCD3
ENSG00000073969,NSF
ENSG00000167083,GNGT2
ENSG00000006283,CACNA1G
ENSG00000154229,PRKCA
ENSG00000161509,GRIN2C
ENSG00000176170,SPHK1
ENSG00000170579,DLGAP1
ENSG00000141404,GNAL
ENSG00000171873,ADRA1D
ENSG00000182621,PLCB1
ENSG00000101333,PLCB4
ENSG00000101306,MYLK2
ENSG00000197122,SRC
ENSG00000101438,SLC32A1
ENSG00000124181,PLCG1
ENSG00000101470,TNNC2
ENSG00000124140,SLC12A5
ENSG00000087460,GNAS
ENSG00000101188,NTSR1
ENSG00000116032,GRIN3B
ENSG00000176533,GNG7
ENSG00000088256,GNA11
ENSG00000060558,GNA15
ENSG00000006638,TBXA2R
ENSG00000141837,CACNA1A
ENSG00000072062,PRKACA
ENSG00000160951,PTGER1
ENSG00000105143,SLC1A6
ENSG00000051128,HOMER3
ENSG00000196218,RYR1
ENSG00000086544,ITPKC
ENSG00000105737,GRIK5
ENSG00000160014,CALM3
ENSG00000167414,GNG8
ENSG00000118160,SLC8A2
ENSG00000105499,PLA2G4C
ENSG00000105464,GRIN2D
ENSG00000063176,SPHK2
ENSG00000130528,HRC
ENSG00000104888,SLC17A7
ENSG00000161681,SHANK1
ENSG00000126583,PRKCG
ENSG00000099957,P2RX6
ENSG00000100030,MAPK1
ENSG00000128271,ADORA2A
ENSG00000100077,GRK3
ENSG00000100346,CACNA1I
ENSG00000251322,SHANK3
ENSG00000171189,GRIK1
ENSG00000157542,KCNJ6
